age,gender,class,number
5,Male,STD1,1
6,Male,STD1,414
6,Female,STD1,382
7,Male,STD1,70
7,Female,STD1,46
7,Male,STD2,90
7,Female,STD2,180
7,Male,STD3,102
7,Female,STD3,50
8,Male,STD1,30
8,Female,STD1,20
8,Male,STD2,250
8,Female,STD2,207
8,Male,STD3,35
8,Female,STD3,97
8,Male,STD4,30
8,Female,STD4,19
8,Male,STD5,12
8,Female,STD5,18
9,Male,STD1,13
9,Female,STD1,7
9,Male,STD2,45
9,Female,STD2,44
9,Male,STD3,70
9,Female,STD3,105
9,Male,STD4,42
9,Female,STD4,70
9,Male,STD5,80
9,Female,STD5,80
9,Male,STD6,12
10,Male,STD1,4
10,Female,STD1,6
10,Male,STD2,35
10,Male,STD3,100
10,Female,STD3,97
10,Male,STD4,80
10,Female,STD4,68
10,Male,STD5,102
10,Female,STD5,113
10,Male,STD6,140
10,Female,STD6,53
10,Male,STD7,83
10,Female,STD7,88
10,Male,STD8,82
10,Female,STD8,54
11,Male,STD1,2
11,Female,STD1,4
11,Male,STD2,30
11,Male,STD3,40
11,Female,STD3,30
11,Male,STD4,190
11,Female,STD4,94
11,Male,STD5,170
11,Female,STD5,115
11,Male,STD6,90
11,Female,STD6,102
11,Male,STD7,67
11,Female,STD7,82
11,Male,STD8,31
11,Female,STD8,70
12,Male,STD1,1
12,Female,STD1,3
12,Male,STD3,33
12,Female,STD3,32
12,Male,STD4,35
12,Female,STD4,92
12,Male,STD5,160
12,Female,STD5,180
12,Male,STD6,101
12,Female,STD6,115
12,Male,STD7,66
12,Female,STD7,95
12,Male,STD8,42
12,Female,STD8,81
13,Male,STD4,60
13,Female,STD4,80
13,Male,STD5,104
13,Female,STD5,99
13,Male,STD6,40
13,Female,STD6,69
13,Male,STD7,35
13,Female,STD7,71
13,Male,STD8,45
13,Female,STD8,72
14,Male,STD4,29
14,Female,STD4,77
14,Male,STD5,40
14,Female,STD5,60
14,Male,STD6,43
14,Female,STD6,123
14,Male,STD7,45
14,Female,STD7,48
14,Male,STD8,39
14,Female,STD8,30
15,Male,STD5,32
15,Female,STD5,40
15,Male,STD6,39
15,Female,STD6,111
15,Male,STD7,76
15,Female,STD7,50
15,Male,STD8,38
15,Female,STD8,35
16,Male,STD6,53
16,Female,STD6,121
16,Male,STD7,30
16,Female,STD7,28
16,Male,STD8,63
16,Female,STD8,30
17,Male,STD7,35
17,Female,STD7,35
17,Male,STD8,71
17,Female,STD8,45
18,Male,STD7,40
18,Female,STD7,10
